SITE_ID,GROUP_ID,VARIABLE_GROUP,VARIABLE,DATAVALUE
FR-Bil,21,GRP_VAR_INFO,VAR_INFO_UNIT,W m-2
FR-Bil,21,GRP_VAR_INFO,VAR_INFO_AGG_NUMLOC,1
FR-Bil,21,GRP_VAR_INFO,VAR_INFO_DATE,20191028
FR-Bil,22,GRP_VAR_INFO,VAR_INFO_VARNAME,SWC_1
FR-Bil,22,GRP_VAR_INFO,VAR_INFO_HEIGHT,-0.05
FR-Bil,22,GRP_VAR_INFO,VAR_INFO_MODEL,MULTI-Meteo
FR-Bil,22,GRP_VAR_INFO,VAR_INFO_UNIT,%
FR-Bil,22,GRP_VAR_INFO,VAR_INFO_AGG_NUMLOC,4
FR-Bil,22,GRP_VAR_INFO,VAR_INFO_DATE,20191028
FR-Bil,23,GRP_VAR_INFO,VAR_INFO_VARNAME,SWC_1
FR-Bil,23,GRP_VAR_INFO,VAR_INFO_HEIGHT,-0.053
FR-Bil,23,GRP_VAR_INFO,VAR_INFO_MODEL,MULTI-Meteo
FR-Bil,23,GRP_VAR_INFO,VAR_INFO_UNIT,%
FR-Bil,23,GRP_VAR_INFO,VAR_INFO_AGG_NUMLOC,4
FR-Bil,23,GRP_VAR_INFO,VAR_INFO_DATE,202307051300
FR-Bil,24,GRP_VAR_INFO,VAR_INFO_VARNAME,SWC_1
FR-Bil,24,GRP_VAR_INFO,VAR_INFO_HEIGHT,-0.052
FR-Bil,24,GRP_VAR_INFO,VAR_INFO_MODEL,MULTI-Meteo
FR-Bil,24,GRP_VAR_INFO,VAR_INFO_UNIT,%
FR-Bil,24,GRP_VAR_INFO,VAR_INFO_AGG_NUMLOC,4
FR-Bil,24,GRP_VAR_INFO,VAR_INFO_DATE,202307121200
FR-Bil,25,GRP_VAR_INFO,VAR_INFO_VARNAME,SWC_2
FR-Bil,25,GRP_VAR_INFO,VAR_INFO_HEIGHT,-0.08
FR-Bil,25,GRP_VAR_INFO,VAR_INFO_MODEL,MULTI-Meteo
FR-Bil,25,GRP_VAR_INFO,VAR_INFO_UNIT,%
FR-Bil,25,GRP_VAR_INFO,VAR_INFO_AGG_NUMLOC,2
FR-Bil,25,GRP_VAR_INFO,VAR_INFO_DATE,20191028
FR-Bil,26,GRP_VAR_INFO,VAR_INFO_VARNAME,SWC_3
FR-Bil,26,GRP_VAR_INFO,VAR_INFO_HEIGHT,-0.11
FR-Bil,26,GRP_VAR_INFO,VAR_INFO_MODEL,MULTI-Meteo
FR-Bil,26,GRP_VAR_INFO,VAR_INFO_UNIT,%
FR-Bil,26,GRP_VAR_INFO,VAR_INFO_AGG_NUMLOC,2
FR-Bil,26,GRP_VAR_INFO,VAR_INFO_DATE,20191028
FR-Bil,27,GRP_VAR_INFO,VAR_INFO_VARNAME,SWC_4
FR-Bil,27,GRP_VAR_INFO,VAR_INFO_HEIGHT,-0.2
FR-Bil,27,GRP_VAR_INFO,VAR_INFO_MODEL,MULTI-Meteo
FR-Bil,27,GRP_VAR_INFO,VAR_INFO_UNIT,%
FR-Bil,27,GRP_VAR_INFO,VAR_INFO_AGG_NUMLOC,2
FR-Bil,27,GRP_VAR_INFO,VAR_INFO_DATE,20191028
FR-Bil,28,GRP_VAR_INFO,VAR_INFO_VARNAME,SWC_5
FR-Bil,28,GRP_VAR_INFO,VAR_INFO_HEIGHT,-0.505
FR-Bil,28,GRP_VAR_INFO,VAR_INFO_MODEL,MULTI-Meteo
FR-Bil,28,GRP_VAR_INFO,VAR_INFO_UNIT,%
FR-Bil,28,GRP_VAR_INFO,VAR_INFO_AGG_NUMLOC,2
FR-Bil,28,GRP_VAR_INFO,VAR_INFO_DATE,20191028
FR-Bil,29,GRP_VAR_INFO,VAR_INFO_VARNAME,SWC_6
FR-Bil,29,GRP_VAR_INFO,VAR_INFO_HEIGHT,-0.995
FR-Bil,29,GRP_VAR_INFO,VAR_INFO_MODEL,MULTI-Meteo
FR-Bil,29,GRP_VAR_INFO,VAR_INFO_UNIT,%
FR-Bil,29,GRP_VAR_INFO,VAR_INFO_AGG_NUMLOC,2
FR-Bil,29,GRP_VAR_INFO,VAR_INFO_DATE,20191028
FR-Bil,30,GRP_VAR_INFO,VAR_INFO_VARNAME,SWC_7
FR-Bil,30,GRP_VAR_INFO,VAR_INFO_HEIGHT,-1.25
FR-Bil,30,GRP_VAR_INFO,VAR_INFO_MODEL,MULTI-Meteo
FR-Bil,30,GRP_VAR_INFO,VAR_INFO_UNIT,%
FR-Bil,30,GRP_VAR_INFO,VAR_INFO_AGG_NUMLOC,1
FR-Bil,30,GRP_VAR_INFO,VAR_INFO_DATE,20191028
